Term,Meaning_of_term,Dialect type,Location_Recognition_question,Cultural_Interpretation_question,Contextual_Usage_question,Fill_in_Blank_question,True_False_question,Meaning_question
آزى / آزت,بمعنى كفى وسد الحاجة او كفت,Central,"المهمة: حدد المنطقة الأكثر استخدامًا للمصطلح.
السؤال: أين يُستخدم المصطلح 'آزى / آزت' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل
الإجابة الصحيحة: أ","المهمة: جاوب على السؤال حول معنى الكلمة في سياق الثقافة.
السؤال: ما الذي تعبر عنه كلمة 'آزى / آزت' في الثقافة النجدية؟
الخيارات:
أ) تعبر عن الاكتفاء والتلبية للحاجة
ب) تعبر عن الكسل
ج) تعبر عن الحب
د) تعبر عن السعادة
الإجابة الصحيحة: أ","المهمة: اختر الجملة المناسبة التي تحتوي على الكلمة 'آزى / آزت'.
السؤال: من الجمل التالية، أيها يستخدم كلمة 'آزى / آزت' بشكل صحيح؟
الخيارات:
أ) تعبت من الإنتظار، آزي!
ب) الجو جميل جداً اليوم.
ج) الكتاب في المكتبة.
د) أريد أن أذهب للتسوق.
الإجابة الصحيحة: أ","المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا كانت الحاجة مشبعة نقول إنها _____ .
الخيارات:
أ) آزى
ب) معوزة
ج) مستمرة
د) مناسبة
الإجابة الصحيحة: أ","المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'آزى / آزت' تستخدم للإشارة إلى الفقر.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح لكلمة 'آزى / آزت'.
السؤال: ما معنى كلمة 'آزى / آزت'؟
الخيارات:
أ) تعني كفى وسد الحاجة
ب) تعني قليلة
ج) تعني جميلة
د) تعني مشغولة
الإجابة الصحيحة: أ"
الشاهي دبس,تعني الشاهي فيه سكر كثير,Central,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'الشاهي دبس' بشكل رئيسي.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'الشاهي دبس' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) الدمام
الإجابة الصحيحة: ج","المهمة: اشرح بوضوح ما تعبر عنه العبارة.
السؤال: لماذا تُستخدم عبارة ""الشاهي دبس"" في الثقافة السعودية؟
الخيارات:
أ) للدلالة على أن الشاهي سكره مبالغ فيه
ب) لأنها تعبير شعري قديم
ج) للتعبير عن الامتعاض من قلة السكر
د) لأنها تُستخدم في المناسبات الرسمية
الإجابة الصحيحة: أ","المهمة: اختر السياق الأنسب .
السؤال: في أي موقف من المناسب أن تقول ""الشاهي دبس""؟
الخيارات:
أ) عندما يقدم لك شاي محلى بشكل مفرط
ب) عندما لا يوجد شاي على الطاولة
ج) عندما تنسى سكر الشاي
د) عندما يكون الشاي بدون نكهة
الإجابة الصحيحة: أ","المهمة: املأ الفراغ بالكلمة المناسبة: 
السؤال: جلست أشرب الشاي مع أهلي وكان حالي كثيرا ، وقلت لهم: __________
الخيارات:
أ) الشاهي بارد
ب) الشاهي خفيف
ج) الشاهي دبس
د) الشاهي ناقص
الإجابة الصحيحة: ج","المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة ""الشاهي دبس"" تعني أن الشاي فيه سكر كثير.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة: أ","المهمة: حدد المعنى الصحيح للعبارة 
السؤال: ماذا تعني عبارة ""الشاهي دبس"" في اللهجة العامية؟
الخيارات:
أ) الشاي مالح
ب) الشاي مر
ج) الشاي بدون سكر
د) الشاي يحتوي على سكر كثير
الإجابة الصحيحة: د"
أبك أنت علامك,تعني : ماذا دهاك . او ايش فيك .؟ كلمة بدوية منتشرة في قبيلة العتبان في نجد,Central,"المهمة: حدد الموقع الأكثر استخدامًا لعبارة 'أبك أنت علامك'.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'أبك أنت علامك' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) حائل
الإجابة الصحيحة: أ","المهمة: اختر التفسير الثقافي الصحيح للعبارة 'أبك أنت علامك'.
السؤال: لماذا يُستخدم تعبير 'أبك أنت علامك' في الثقافة السعودية؟
الخيارات:
أ) لأنه يعبر عن الاهتمام والقلق
ب) لأنه يستخدم في المناسبات الاجتماعية
ج) لأنه تعبير شائع في الشعر العربي
د) لأنه تعبير يستخدم للسخرية
الإجابة الصحيحة: أ","المهمة: اختر الاستخدام الصحيح لعبارة 'أبك أنت علامك' في سياق مناسب.
السؤال: أين يمكن استخدام عبارة 'أبك أنت علامك' بشكل مناسب؟
الخيارات:
أ) عند طرح سؤال عن حال شخص
ب) عند تقديم تهنئة
ج) عند طلب المساعدة
د) عند الاعتذار
الإجابة الصحيحة: أ","المهمة: أكمل الجملة التالية باستخدام عبارة 'أبك أنت علامك'.
السؤال: _________ ما تروح معنا لسوق الغنم؟
الخيارات:
أ) أبك أنت علامك
ب) لماذا تأخرت
ج) أين كنت
د) كيف حالك
الإجابة الصحيحة: أ","المهمة: حدد إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'أبك أنت علامك' تعني 'ما الذي حدث لك؟'.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة: أ","المهمة: اختر المعنى الصحيح لعبارة 'أبك أنت علامك'.
السؤال: ماذا تعني عبارة 'أبك أنت علامك'؟
الخيارات:
أ) ماذا دهاك؟
ب) هل أنت بخير؟
ج) ماذا تريد؟
د) لماذا تتأخر؟
الإجابة الصحيحة: أ"
أبلشتنا,من الإزعاج و تكرار استخدام نفس الأشياء,Central,"المهمة: حدد المكان الأكثر شيوعاً لاستخدام العبارة 'أبلشتنا'.
السؤال: في أي منطقة من المناطق السعودية يُستخدم المصطلح 'أبلشتنا' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل
الإجابة الصحيحة: أ","المهمة: ما هو التفسير الثقافي للعبارة 'أبلشتنا' في اللهجة السعودية؟
السؤال: لماذا تُعد عبارة 'أبلشتنا' تعبيراً شائعاً في الثقافة السعودية؟
الخيارات:
أ) لأنها تعبر عن الإبداع
ب) لأنها تشير إلى الملل من التكرار
ج) لأنها تدل على الرضا
د) لأنها تعبر عن الفرح
الإجابة الصحيحة: ب","المهمة: اختر استخدامًا صحيحًا للعبارة 'أبلشتنا'.
السؤال: أي من الجمل التالية تُظهر الاستخدام الصحيح للعبارة 'أبلشتنا'؟
الخيارات:
أ) خالد دائمًا يصف نفسه بأنه أبلشتنا.
ب) أصدقاء التعبيرات المتكررة، أبلشتنا!
ج) بدأ الأسبوع الجديد، أبلشتنا.
د) في أوقات الفراغ، يفضل أن يكون شخصًا يبلشتنا.
الإجابة الصحيحة: ب","المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: البراء يقول دائماً نفس العبارات، وهذا __________نا.
الخيارات:
أ) أبلش
ب) يشجع
ج) يحب
د) يرحب
الإجابة الصحيحة: أ","المهمة: حدد ما إذا كانت الجملة صحيحة أم خاطئة.
السؤال: العبارة 'أبلشتنا' تعني الاستمتاع بشيء ما.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح للعبارة 'أبلشتنا'.
السؤال: ما معنى كلمة 'أبلشتنا'؟
الخيارات:
أ) من الإزعاج و تكرار استخدام نفس الأشياء
ب) من الفرح والسرور
ج) من النشاط والحيوية
د) من الخوف والقلق
الإجابة الصحيحة: أ"
أبو أربع عيون,تطلق على من يرتدي نظارات طبية وهي معروفة في معظم أنحاء العالم بهذا اللفظ.,"  
 	
General","المهمة: حدد المنطقة التي يرتبط بها استخدام المصطلح.
السؤال: في أي دولة يُستخدم مصطلح 'أبو أربع عيون' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين
الإجابة الصحيحة: أ","المهمة: فسر العبارة من الناحية الثقافية.
السؤال: ما الذي يدل عليه استخدام عبارة 'أبو أربع عيون' في ثقافة المجتمع السعودي؟
الخيارات:
أ) احترام ذوي الفئات المختلفة
ب) الإشارة إلى المعرفة والفهم
ج) التقدير للأشخاص الذين يحتاجون إلى مساعدة في الرؤية
د) الإشارة إلى شخص حكيم في أسرته
الإجابة الصحيحة: ","المهمة: اختر الاستخدام الصحيح للعبارة.
السؤال: أي من الجمل التالية تستخدم عبارة 'أبو أربع عيون' بشكل صحيح؟
الخيارات:
أ) شفت أبو أربع عيون في السوق، كان طالع عيونه!
ب) أبو أربع عيون لازم يشتري سيارة جديدة.
ج) أبو أربع عيون يحب الأكل.
د) أبو أربع عيون يفكر في السفر.
الإجابة الصحيحة: أ","المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عبارة 'أبو أربع عيون' تشير إلى شخص يرتدي ______.
الخيارات:
أ) نظارات طبية
ب) نظارات شمسية
ج) عدسات لاصقة
د) نظارات أثرية
الإجابة الصحيحة: أ","المهمة: قم بتحديد صحة العبارة التالية.
السؤال: العبارة 'أبو أربع عيون' تستخدم لوصف شخص بدون نظارات طبية.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح للعبارة 'أبو أربع عيون'.
السؤال: ماذا تعني عبارة 'أبو أربع عيون' في اللهجة السعودية؟
الخيارات:
أ) شخص يرتدي نظارات طبية
ب) شخص لديه قدرة على الرؤية عن كثب
ج) شخص يحب التحديق في الآخرين
د) شخص يتحدث كثيرًا
الإجابة الصحيحة: أ"
أبو كلب,صفة تطلق على الشيء ردىء الصنع. أيضاً تستخدم لازدراء حالة، أو شيء، أو عمل معين.,Western,"المهمة: حدد أين يُستخدم المصطلح 'أبو كلب' بشكل شائع.
السؤال: في أي منطقة سعودية يتم استخدام المصطلح 'أبو كلب' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) المدينة المنورة
د) الدمام
الإجابة الصحيحة: ب","المهمة: حدد ما هو التفسير الثقافي للعبارة.
السؤال: ما هي الدلالة الثقافية للعبارة 'أبو كلب' في المجتمع السعودي؟
الخيارات:
أ) تعبر عن الإيجابية.
ب) تستخدم للازدراء والسخرية.
ج) تشير إلى جودة العمل.
د) تعبر عن الفرح.
الإجابة الصحيحة: ب","المهمة: اختر الجملة التي تُستخدم فيها العبارة بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم عبارة 'أبو كلب' بشكل صحيح؟
الخيارات:
أ) السيارة الجديدة لأحمد رائعة والألوان جميلة.
ب) محمد يحب مدرسته الجديدة، يقول إنها أبو كلب!
ج) نحن نذهب للنزهة في الغابة.
د) الفلم الجديد ممتاز، لم يعجبني.
الإجابة الصحيحة: ب","المهمة: املأ الفراغ بالمصطلح الصحيح.
السؤال: يُقال عن الشيء الرَّديء '_______'.
الخيارات:
أ) أبو كلب
ب) فلة
ج) ممتاز
د) جميل
الإجابة الصحيحة: أ","المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'أبو كلب' تُستخدم دائماً لوصف الأشياء الجيدة.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح للعبارة 'أبو كلب'.
السؤال: ماذا تعني العبارة 'أبو كلب'؟
الخيارات:
أ) شيء ذو جودة عالية
ب) صفة تطلق على الشيء رديء الصنع
ج) عمل ممتاز
د) وصف لشيء جميل
الإجابة الصحيحة: ب"
أبوعرام,الصحيح انها كلمه تطلق على من زادت قوته وهي لقب ايطلق ايضا على فتوة الحاره (الحي),Western,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: في أي منطقة سعودية تُستخدم عبارة ""أبوعرام"" بشكل شائع؟ 
الخيارات: 
A) الرياض 
B) جدة 
C) المنطقة الشرقية 
D) مكة 
الإجابة الصحيحة: D (مكة)","المهمة: وضح ماذا تعني 'أبوعرام' في سياق الثقافة المحلية.
السؤال: ما التأثير الثقافي لكلمة 'أبوعرام' في المجتمع السعودي?
الخيارات:
أ) تعني الاحترام والتقدير
ب) تنتج عن ضعف الشخصية
ج) تشير للحكمة والتجربة
د) تعبر عن التعالي والتفاخر
الإجابة الصحيحة: أ","المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: في أي سياق يمكن استخدام عبارة ""أبوعرام"" بشكل طبيعي؟ 
الخيارات: 
A) ""الولد صار أبوعرام بعد ما بدأ يتدرب."" 
B) ""أحتاج الذهاب إلى السوبرماركت."" 
C) ""الطقس جميل اليوم."" 
D) ""الدروس صعبة جداً."" 
الإجابة الصحيحة: A (""الولد صار أبوعرام بعد ما بدأ يتدرب."")","المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تطلق كلمة 'أبوعرام' على من زادت ________.
الخيارات:
أ) ضعفه
ب) قوته
ج) عمره
د) فقره
الإجابة الصحيحة: ب","المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: 'أبوعرام' تستخدم للإشارة إلى الضعف.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: ب","المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""أبوعرام""؟ 
الخيارات: 
A) لقب لشخص ضعيف 
B) لقب لشخص قوي أو فتوة الحارة 
C) اسم لمدينة 
D) مصطلح علمي 
الإجابة الصحيحة: B (لقب لشخص قوي أو فتوة الحارة)"
أجادي,"تأتي بمعني ""لعل"" أو ""يمكن"" أو ""إذن"".",Western,"المهمة: اختر الجواب الصحيح. 
السؤال: في أي منطقة سعودية تُستخدم عبارة ""أجادي"" بشكل شائع؟ 
الخيارات: 
A) مكة 
B) الرياض 
C) القصيم 
D) الدمام 
الإجابة الصحيحة: A (مكة)","المهمة: اختر الجواب الصحيح. 
السؤال: ما هي الأهمية الثقافية لعبارة ""أجادي"" في المجتمع الحجازي؟ 
الخيارات: 
A) تعبير عن الهيبة والثقة 
B) تعبير عن الاحتمال وعدم اليقين 
C) استخدام اللغة الفصحى في الحديث 
D) تعبير عن التأكيد والثبات 
الإجابة الصحيحة: B (تعبير عن الاحتمال وعدم اليقين)","المهمة: اختر الجملة التي تتناسب مع استخدام ""أجادي"". 
السؤال: أي من الجمل التالية تستخدم ""أجادي"" بشكل صحيح؟ 
الخيارات: 
A) الجو حار، أريد أن أذهب للبحر. 
B) هل ستأتي للعشاء؟ يبدو أنك مشغول. 
C) لم أسمع الأخبار، كيف حالكم؟ 
D) تأخرت عن الفصل، لم أستطع الاستيقاظ مبكرًا. 
الإجابة الصحيحة: B (هل ستأتي للعشاء؟ يبدو أنك مشغول.)","المهمة: اختر الجواب الصحيح. 
السؤال: ""ما لقيت الجوال ع التسريحة - نسيته في السيارة."" 
الخيارات: 
A) أجادي 
B) دائماً 
C) أبداً 
D) حتماً 
الإجابة الصحيحة: A (أجادي)","### نوع السؤال: صحيح/خطأ
المهمة: اختر الجواب الصحيح. 
السؤال: عبارة ""أجادي"" تعني ""إذن"" في اللهجة الحجازية. 
الخيارات: 
A) صحيح 
B) خطأ 
الإجابة الصحيحة: A (صحيح)","المهمة: اختر الجواب الصحيح. 
السؤال: ما هو المعنى المستخدم لكلمة ""أجادي"" في اللهجة الحجازية؟ 
الخيارات: 
A) ربما 
B) بالتأكيد 
C) لا يوجد 
D) مستحيل 
الإجابة الصحيحة: A (ربما)"
أخْذِني موتك,متُّ فداك,Southern,"المهمة: اختر المنطقة الأكثر شيوعاً لاستخدام العبارة 'أخْذِني موتك'.
السؤال: في أي منطقة سعودية تُستخدم العبارة 'أخْذِني موتك' بشكل شائع؟
الخيارات:
أ) الشرق
ب) الغرب
ج) الجنوب
د) الوسطى
الإجابة الصحيحة: ج","المهمة: اختر الجواب الذي يصف معنى العبارة في السياق الثقافي السعودي.
السؤال: كيف تعكس عبارة 'أخْذِني موتك' الثقافة السعودية في التعبير عن الحب والتضحية؟
الخيارات:
أ) تعبر عن التعاطف
ب) تشير إلى قوة الحب والتضحية
ج) تبرز المواطنة
د) تشير إلى مساعدة الآخرين
الإجابة الصحيحة: ب","المهمة: اختر الجملة التي تحتوي على العبارة بنفس السياق.
السؤال: أي من الجمل التالية تعكس استخدام عبارة 'أخْذِني موتك'؟
الخيارات:
أ) قومي بالبحث عن حل
ب) كنت أود أن أكون معك
ج) أخْذِني موتك، أنا مستعد لأي شيء
د) سأعود لاحقاً
الإجابة الصحيحة: ج","المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عبارة 'أخْذِني موتك' تعني ______.
الخيارات:
أ) أحبك
ب) متُّ فداك
ج) أنا هنا
د) أحتاجك
الإجابة الصحيحة: ب","المهمة: اقرأ العبارة وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'أخْذِني موتك' تعني 'أود أن أموت من أجلك'.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: أ","المهمة: اختر الترجمة الأقرب لعبارة 'أخْذِني موتك'.
السؤال: ما هو المعنى الأقرب لعبارة 'أخْذِني موتك'؟
الخيارات:
أ) متُّ فداك
ب) أنا أحتاجك
ج) أنا أراك
د) أحبك جداً
الإجابة الصحيحة: أ"
أديلو جنط,يعني اسحب على ابو شكلو طنش,Western,"المهمة: حدد المنطقة التي ترتبط بها عبارة 'أديلو جنط'.
السؤال: أين يُستخدم المصطلح 'أديلو جنط' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) المدينة المنورة
الإجابة الصحيحة: ب","المهمة: وضح معنى عبارة 'أديلو جنط' في سياق الثقافة السعودية.
السؤال: ما هو التفسير الثقافي لعبارة 'أديلو جنط'؟
الخيارات:
أ) تعبير عن الغضب
ب) تعبير عن الإهمال والتجاهل
ج) تعبير عن الفرح
د) تعبير عن الترحيب
الإجابة الصحيحة: ب","المهمة: اختر الخيار الذي يمكن أن يتحدث به شخص سعودي في سياق استخدام عبارة 'أديلو جنط'.
السؤال: في أي سياق يمكن استخدام عبارة 'أديلو جنط'؟
الخيارات:
أ) عند طلب المساعدة
ب) عند عدم الرد على الاتصال
ج) عند السفر
د) عند تناول الطعام
الإجابة الصحيحة: ب","المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: إذا لم يرد علي، سأقول له 'أديلو _____'.
الخيارات:
أ) مواصلات
ب) جنط
ج) مساعدة
د) لقاء
الإجابة الصحيحة: ","المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'أديلو جنط' تعني أنك يجب أن تحاول التقرب من الشخص.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح لعبارة 'أديلو جنط'.
السؤال: ماذا تعني عبارة 'أديلو جنط'؟
الخيارات:
أ) يعني تعاون معه
ب) يعني اسحب على ابو شكلو طنش
ج) يعني أتصل به
د) يعني أذهب معه
الإجابة الصحيحة: ب"
