Term,Meaning_of_term,Dialect type,Location_Recognition_question,Cultural_Interpretation_question,Contextual_Usage_question,Fill_in_Blank_question,True_False_question,Meaning_question
أَدْنَى حَمُول غَانا راعِيه,(عند أهل السراة) تستخدم بمعنى أن الأنسان يعيش على أدنى الميسور والموجود. وهي تفيد القناعة. أدنى: أقل. حمول: ما يحمل على الجمل وهي هنا ما تقتنيه. غانا: لغة في أغنى. راعيه: صاحبه.,Southern,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي منطقة سعودية يستخدم هذا المثل ""أدْنَى حَمُول غَانا راعِيه"" بشكل شائع؟
الخيارات:
أ) نجد
ب) الحجاز
ج) عسير
د) المنطقة الشرقية
الإجابة الصحيحة: ج","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: ما الدلالة الثقافية للمثل ""أدْنَى حَمُول غَانا راعِيه""؟
الخيارات:
A) القناعة والرضا تجعل الإنسان غنيًا
B) الطموح العالي هو السبيل الوحيد للنجاح
C) كثرة المال تضمن السعادة والاستقرار
D) التنقل والترحال يساعدان في تحقيق الثروة
الإجابة الصحيحة: A) القناعة والرضا تجعل الإنسان غنيًا","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: أي من المواقف التالية يناسب استخدام المثل ""أدْنَى حَمُول غَانا راعِيه""؟
الخيارات:
A) شخص يعيش حياة بسيطة وراضٍ بما لديه
B) تاجر يضاعف استثماراته بحثًا عن الثراء
C) موظف يرفض العمل لأنه لا يناسب طموحه الكبير
D) مسافر يزور عدة دول بحثًا عن فرص جديدة
الإجابة الصحيحة: A) شخص يعيش حياة بسيطة وراضٍ بما لديه","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: يُقال المثل ""أدْنَى حَمُول غَانا راعِيه"" لمن _______ بالقليل ولم يسعَ إلى المزيد.
الخيارات:
A) رضي
B) طمع
C) خسر
D) بالغ
الإجابة الصحيحة: A) رضي","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: يدل المثل ""أدْنَى حَمُول غَانا راعِيه"" على أن الطمع والجشع يؤديان إلى الفقر.
الخيارات:
A) صح
B) خطأ
الإجابة الصحيحة: B) خطأ","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: ما الفكرة الأساسية التي يعبر عنها المثل ""أدْنَى حَمُول غَانا راعِيه""؟
الخيارات:
A) القناعة بما هو متاح وعدم الطمع
B) أهمية جمع المال وعدم الإسراف
C) الكرم والسخاء مع الآخرين
D) السفر والتنقل بحثًا عن الرزق
الإجابة الصحيحة: A) القناعة بما هو متاح وعدم الطمع"
أن كان مالك من ذراعك نجده شربك على يدين الرجال هماج,هي بالأساس بيت قصيد، لكن أُستخدم كمثل ومعناها أنك ستتعرض للمذلة، أن لم تعتمد على نفسك,Central,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي منطقة سعودية يستخدم هذا المثل بشكل شائع؟
الخيارات:
أ) نجد
ب) الحجاز
ج) عسير
د) المنطقة الشرقية
الإجابة الصحيحة: أ","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: ما الدلالة الثقافية للمثل ""إن كان مالك من ذراعك نجده، شربك على يدين الرجال هماج""؟
الخيارات:
A) العمل الجاد والاعتماد على النفس هما مفتاح النجاح
B) التعاون مع الآخرين أفضل من العمل الفردي
C) كثرة المال تضمن السعادة والاستقرار
D) الرزق يأتي دون الحاجة إلى جهد
الإجابة الصحيحة: A) العمل الجاد والاعتماد على النفس هما مفتاح النجاح","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: أي من المواقف التالية يناسب استخدام المثل ""إن كان مالك من ذراعك نجده، شربك على يدين الرجال هماج""؟
الخيارات:
A) شخص يعمل بجد ويبني مستقبله بنفسه
B) رجل يعتمد على المساعدات من الآخرين دون جهد
C) طالب يبحث عن أسهل الطرق للنجاح دون دراسة
D) شخص يفضل الاعتماد على دعم عائلته بدلاً من العمل
الإجابة الصحيحة: A) شخص يعمل بجد ويبني مستقبله بنفسه","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: يُقال المثل ""إن كان مالك من ذراعك نجده، شربك على يدين الرجال هماج"" لمن _______ على نفسه في كسب رزقه.
الخيارات:
A) اعتمد
B) أهمل
C) تردد
D) رفض
الإجابة الصحيحة: A) اعتمد","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: يشير المثل ""إن كان مالك من ذراعك نجده، شربك على يدين الرجال هماج"" إلى أهمية الاتكال على الآخرين في تحقيق النجاح.
الخيارات:
A) صح
B) خطأ
الإجابة الصحيحة: B) خطأ","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: ما الفكرة الأساسية التي يعبر عنها المثل ""إن كان مالك من ذراعك نجده، شربك على يدين الرجال هماج""؟
الخيارات:
A) الاعتماد على النفس هو السبيل لتحقيق النجاح
B) الكرم والتعاون مع الآخرين أمر ضروري
C) العمل الجماعي أكثر فائدة من العمل الفردي
D) القناعة والرضا هما أهم أسباب السعادة
الإجابة الصحيحة: A) الاعتماد على النفس هو السبيل لتحقيق النجاح"
إذا حجت البقرة على قرونها,بمعنى المستحيل ولايمكن وقوعة,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي دولة يتم استخدام هذا المثل بشكل شائع؟
الخيارات:
أ) البحرين
ب) الكويت
ج) الإمارات
د)السعودية
الإجابة الصحيحة: د","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: ما الدلالة الثقافية للمثل ""إذا حجت البقرة على قرونها""؟
الخيارات:
A) التأكيد على إمكانية تحقيق الأمور الصعبة
B) رفض فكرة حدوث أمر مستحيل
C) تقدير الجهود المبذولة لتحقيق الهدف
D) تشجيع الآخرين على التفكير في المستحيل
الإجابة الصحيحة: B) رفض فكرة حدوث أمر مستحيل","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي من المواقف التالية يمكن استخدام المثل ""إذا حجت البقرة على قرونها""؟
الخيارات:
A) عندما يعد شخص ما بشيء مستحيل أو صعب جدًا تحقيقه
B) عندما يتحدث شخص عن نجاحات غير محتملة
C) عندما يتم الإعلان عن أمر مهم في المستقبل
D) عندما تتحدث عن وضع طبيعي ومحتمل
الإجابة الصحيحة: A) عندما يعد شخص ما بشيء مستحيل أو صعب جدًا تحقيقه","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: المثل ""إذا حجت البقرة على قرونها"" يعبر عن _______ شيء غير ممكن أو مستحيل.
الخيارات:
A) إمكانية
B) استحالة
C) فرصة
D) توقع
الإجابة الصحيحة: B) استحالة","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: يشير المثل ""إذا حجت البقرة على قرونها"" إلى شيء مستحيل أو غير قابل للتحقيق.
الخيارات:
A) صح
B) خطأ
الإجابة الصحيحة: A) صح","المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: ماذا يعني المثل ""إذا حجت البقرة على قرونها""؟
الخيارات:
A) شيء يمكن تحقيقه إذا تمت الظروف بشكل جيد
B) شيء مستحيل أو غير قابل للتحقيق
C) شيء يحدث في حالة نادرة
D) شيء يجب أن يتم في الوقت المحدد
الإجابة الصحيحة: B) شيء مستحيل أو غير قابل للتحقيق"
إلي يجيك أحسن من إلي ترحلو,مثل معناه: إلي يفكر فيك أحسن من إلي تفكر فيه.,Western,"المهمة: حدد الموقع الذي يُستخدم فيه هذا المثل.
السؤال: في أي منطقة سعودية يُستخدم المثل 'إلي يجيك أحسن من إلي ترحلو' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) مكة
ج) الدمام
د) جدة
الإجابة الصحيحة: د","المهمة: وضح المعنى الثقافي للمثل.
السؤال: ماذا يعني المثل 'إلي يجيك أحسن من إلي ترحلو' في الثقافة السعودية؟
الخيارات:
أ) يفضل الناس من يزورهم على من يهجرهم
ب) تستمر العلاقات عبر المراسلة
ج) الصداقة ليست مهمة
د) الزيارة ليست ذات قيمة
الإجابة الصحيحة: أ","المهمة: اختر الجملة التي تناسب استخدام المثل.
السؤال: في أي موقف يمكن القول 'إلي يجيك أحسن من إلي ترحلو'؟
الخيارات:
أ) عندما تفكر في الذهاب لزيارة شخص
ب) عند التحدث عن شخص لم يعد مهتمًا بك
ج) عند استضافتك لصديق قادم من سفر
د) عند توديع شخص مقرب
الإجابة الصحيحة: ج","المهمة: أكمل الفراغ بما يناسب.
السؤال: المثل 'إلي يجيك أحسن من إلي ترحلو' يدل على أن __________.
الخيارات:
أ) الشخص الذي يهتم بك أفضل
ب) الهجر أفضل من الزيارة
ج) الرحيل أفضل من الزيارة
د) التفكير هو المهم
الإجابة الصحيحة: أ","المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: المثل 'إلي يجيك أحسن من إلي ترحلو' يعني أن الشخص الذي يهتم بك أفضل ممن تتركه.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة: أ","المهمة: اذكر معنى المثل التالي.
السؤال: ما معنى المثل 'إلي يجيك أحسن من إلي ترحلو'؟
الخيارات:
أ) إلي سيفكر فيك أحسن من إلي ترحل له
ب) إلي تحبه أكثر من إلي يحبك
ج) إلي يزورك أفضل من إلي تتركه
د) إلي يتكلم عنك أفضل من إلي تتكلم عنه
الإجابة الصحيحة: أ"
ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه,وصَلْمَعةُ‎ ‎بن‎ قَلْمَعةَ: كناية عمن لا يعرف ولا يُعْرَفُ أَبوه وهذا المثل يقال عند ذم الشخص,Central,"المهمة: حدد الموقع الأكثر شيوعاً لاستخدام هذا المثل.
السؤال: أين يُستخدم مثل 'ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) المنطقة الشرقية
الإجابة الصحيحة: أ","المهمة: فسر المعنى الثقافي لمثل 'ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه'.
السؤال: لماذا يُعتبر هذا المثل مهمًا في الثقافة السعودية؟
الخيارات:
أ) لأنه يدعو إلى التعلم والمثابرة
ب) لأنه ينبه لعدم الاعتماد على بعض الأشخاص
ج) لأنه يعترف بقدرات الآخرين
د) لأنه يعزز التواصل الاجتماعي
الإجابة الصحيحة: ب","المهمة: ما هو السياق المناسب لاستخدام مثل 'ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه'?
السؤال: عندما تريد الإشارة لشخص عديم الفائدة، أي من الخيارات التالية هو السياق الصحيح لاستخدام المثل؟
الخيارات:
أ) أثناء مدح الأصدقاء
ب) عند التحدث عن شخص يتمتع بذكاء عالٍ
ج) في حالة محاولة إقناع شخص عنيد
د) عند مناقشة النجاح والإنجازات
الإجابة الصحيحة: ج","المهمة: أكمل الفراغ في الجملة.
السؤال: يستخدم المثل 'ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه' للحديث عن __________.
الخيارات:
أ) القوة والشجاعة
ب) الغباء والعناد
ج) الفخر والاعتزاز
د) القيم والمبادئ
الإجابة الصحيحة: ب","المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: المثل 'ابن صلمعه بن قلمعه' يُستخدم لمدح الأشخاص.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الحقيقي للمثل المدخل.
السؤال: ما المقصود بمثل 'ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه'؟
الخيارات:
أ) يشير إلى شخص يعرف والديه جيدًا
ب) يعني عدم جدوى الحيل مع شخص عديم القيم
ج) يدل على شخص لديه مهارات عديدة
د) يعني شخص مشهور في عائلته
الإجابة الصحيحة: ب"
ابو فرفور ذنبو مغفور,اللي نحبه نغفرله كل شي,Western,"المهمة: حدد الموقع الذي يرتبط به استخدام العبارة.
السؤال: في أي منطقة سعودية تُستخدم عبارة 'ابو فرفور ذنبو مغفور' بشكل شائع؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) مكة
الإجابة الصحيحة: أ","المهمة: اشرح ما تعكسه هذه العبارة عن الثقافة السعودية.
السؤال: ماذا تعكس عبارة 'ابو فرفور ذنبو مغفور' عن العادات الاجتماعية في المجتمع السعودي؟
الخيارات:
أ) التشدد في العقوبات
ب) التسامح والمودة بين الأفراد
ج) أهمية القانون
د) دعم النجاح الفردي
الإجابة الصحيحة: ب","المهمة: اختر الجملة التي يمكن أن تستخدم فيها العبارة.
السؤال: متى يمكن أن نستخدم عبارة 'ابو فرفور ذنبو مغفور'؟
الخيارات:
أ) عندما نتحدث عن تطبيق القانون
ب) عند الحديث عن شخص عزيز أخطأ
ج) عندما نناقش فائدة الخطأ
د) عند الحديث عن العدالة
الإجابة الصحيحة: ب","المهمة: أكمل الجملة بما يناسب العبارة.
السؤال: تُستخدم عبارة 'ابو فرفور ذنبو مغفور' للدلالة على أن _____.
الخيارات:
أ) الأخطاء مبررة للناس المقربين
ب) العقوبة ضرورية للجميع
ج) الحب لا يغفر الأخطاء
د) الفشل نهاية الطريق
الإجابة الصحيحة: أ","المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'ابو فرفور ذنبو مغفور' تعني أن الشخص لن يُعاقب على أخطائه.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة: أ","المهمة: حدد المعنى الصحيح للعبارة 'ابو فرفور ذنبو مغفور'.
السؤال: ما المقصود بعبارة 'ابو فرفور ذنبو مغفور'؟
الخيارات:
أ) الشخص الذي يخطئ يعاقب
ب) اللي نحبه نغفرله كل شي
ج) كل واحد له ذنوبه
د) الخطأ مصيره الفشل
الإجابة الصحيحة: ب"
اجري يا مشكاح للي قاعد مرتاح,المِشْكاح يُراد به كثير السعي والحركة، ويُضرب لمن يأتيه رزقه من سعي غيره بلا طلب منه,Western,"المهمة: حدد المكان الذي يُستخدم فيه هذا المثل بشكل رئيسي.
السؤال: في أي منطقة يُستخدم المثل 'اجري يا مشكاح للي قاعد مرتاح' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) تبوك
الإجابة الصحيحة: ب","المهمة: فسر الجانب الثقافي المرتبط بالمثل.
السؤال: ما الذي يعكسه المثل 'اجري يا مشكاح للي قاعد مرتاح' عن الثقافة السعودية؟
الخيارات:
أ) أهمية الراحة
ب) قيمة العمل والسعي
ج) التقدير للترفيه
د) تعزيز الاعتماد على الغير
الإجابة الصحيحة: ب","المهمة: اختر السياق الأنسب للمثل الشعبي.
السؤال: في أي موقف يمكن استخدام المثل 'اجري يا مشكاح للي قاعد مرتاح'؟
الخيارات:
أ) عند التحدث عن السفر
ب) عند تشجيع شخص على العمل
ج) عند مناقشة الطقس
د) عند الحديث عن الرياضة
الإجابة الصحيحة: ب","المهمة: أكمل الجملة بالاختيار المناسب.
السؤال: المثل 'اجري يا مشكاح للي قاعد مرتاح' يدل على ضرورة ________.
الخيارات:
أ) التخلي عن العمل
ب) السعي والتعب
ج) الاسترخاء دائمًا
د) التراخي
الإجابة الصحيحة: ب","المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: المثل 'اجري يا مشكاح للي قاعد مرتاح' يعني أن الشخص يعذب نفسه بدون سبب.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح للمثل الشعبي.
السؤال: ما هو المعنى المقصود من المثل 'اجري يا مشكاح للي قاعد مرتاح'؟
الخيارات:
أ) الاشتغال والكسب من العمل
ب) التمسك بالراحة وعدم النشاط
ج) الدعوة إلى السعي والت hustling
د) التشجيع على الترفيه
الإجابة الصحيحة: ج"
ازا اكلو العنب عليك قول حامض,تنقال لماً واحد يقعد متكرن عشان فاتو شي حلو مثل مشهور في الطايف,Western,"المهمة: حدد المكان الأكثر ارتباطاً بالمثل.
السؤال: في أي منطقة سعودية يُستخدم المثل 'ازا اكلو العنب عليك قول حامض' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) الدمام
الإجابة الصحيحة: ب","المهمة: وضح الفكرة الثقافية المتعلقة بالمثل.
السؤال: ما الفكرة الثقافية التي يعبر عنها المثل 'ازا اكلو العنب عليك قول حامض'؟
الخيارات:
أ) أهمية الصبر في مواجهة الصعوبات.
ب) ضرورة التعامل مع الإحباطات بنظرة إيجابية.
ج) قيمة الصراحة في العلاقات.
د) أهمية التواضع عند الفشل.
الإجابة الصحيحة: ب","المهمة: اختر السياق المناسب لاستخدام المثل.
السؤال: في أي حالة يمكن استخدام المثل 'ازا اكلو العنب عليك قول حامض'؟
الخيارات:
أ) عند التغلب على تحديات الحياة.
ب) عندما يتحدث شخص عن تجربة سيئة.
ج) عندما يتحمل شخص ما عواقب أفعاله.
د) عند تشجيع شخص على النجاح.
الإجابة الصحيحة: ب","المهمة: أكمل الجملة التالية.
السؤال: يمكن استخدام المثل 'ازا اكلو العنب عليك قول حامض' في الحالات التي يشعر فيها الشخص _____ .
الخيارات:
أ) بالإحباط
ب) بالسعادة
ج) بالانتقاد
د) بالحنين
الإجابة الصحيحة: أ","المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: يستخدم المثل 'ازا اكلو العنب عليك قول حامض' للإشارة إلى الشخص الذي يحاول إرضاء الآخرين.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة: ب","المهمة: حدد المعنى الصحيح للمثل.
السؤال: ما معنى العبارة 'ازا اكلو العنب عليك قول حامض'؟
الخيارات:
أ) تشير إلى الحذر عند تناول الطعام.
ب) تدل على عدم تقدير الأشياء الجيدة.
ج) تعبر عن الفرح عند حدوث أمر جيد.
د) تشير إلى التواصل الجيد بين الأشخاص.
الإجابة الصحيحة: ب"
استعرنا مشطها المرجان لقيناه مليان صيصان,احيانا نغتر بحال بعض الناس ونتفاجأ بأنهم عكس ما يظهرون,Western,"المهمة: حدد المنطقة التي ترتبط بالعبارة.
السؤال: أين يُستخدم المصطلح 'استعرنا مشطها المرجان لقيناه مليان صيصان' بشكل أكثر شيوعاً؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) المدينة المنورة
الإجابة الصحيحة: أ","المهمة: تفسير المقولة في سياق ثقافي.
السؤال: ماذا تعكس المقولة 'استعرنا مشطها المرجان لقيناه مليان صيصان' عن ثقافة المجتمع السعودي؟
الخيارات:
أ) أهمية المظاهر
ب) الترابط بين الناس
ج) غطرسة البعض
د) حب السيطرة
الإجابة الصحيحة: ب","المهمة: اختر الجملة التي تُظهر الاستخدام الصحيح للعبارة.
السؤال: أي من الجمل التالية تستخدم العبارة 'استعرنا مشطها المرجان لقيناه مليان صيصان' بشكل صحيح؟
الخيارات:
أ) أنا أخذت الدفتر من صديقي ووجدته مليان أوراق.
ب) استعرنا مشطها المرجان لقيناه مليان صيصان.
ج) الاحتفالية كانت مبهجة جداً.
د) هو يحب الكتب كثيراً.
الإجابة الصحيحة: ب","المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: تستخدم العبارة 'استعرنا مشطها المرجان لقيناه مليان _______' للإشارة إلى...
الخيارات:
أ) حلاوة
ب) صيصان
ج) مناسب
د) جدوى
الإجابة الصحيحة: ب","المهمة: اقرأ العبارة وأجب إذا كانت صحيحة أم خاطئة.
السؤال: العبارة التي تقول 'استعرنا مشطها المرجان لقيناه مليان صيصان' تعني أننا نحتاج للأشياء من الناس لأغراض معينة.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة: أ","المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما معنى الجملة 'استعرنا مشطها المرجان لقيناه مليان صيصان'؟
الخيارات:
أ) نقوم بد borrowing من كل أحد
ب) نتعود على شخص لكن نكتشف عكس شخصيته
ج) نستخدم شيء معين للزينة
د) نبحث عن أشياء جديدة
الإجابة الصحيحة: ب"
اقولة تيس يقول احلبة,افولة تيس يقول احلبة : يعني ماتفهم انت مافي معلوم,General,"المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.  
السؤال: في أي دولة تُستخدم عبارة ""اقولة تيس يقول احلبة"" أكثر؟  
الخيارات:  
A) عمان 
B) قطر
C) السعودية  
D) الإمارات  
الإجابة الصحيحة: C","المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.  
**السؤال: ما المعنى الثقافي لمثل ""اقولة تيس يقول احلبة""؟  
الخيارات:  
A) يدل على الافتخار بالمعلومات.  
B) يشير إلى عدم الفهم في بعض الأمور.  
C) يحث على العلم والمعرفة.  
D) يشجع على المشاركة بين الناس.  
الإجابة الصحيحة: B","المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.  
السؤال: في أي سياق يمكن استخدام مثل ""اقولة تيس يقول احلبة""؟  
الخيارات:  
A) عندما يفسر شخص شيء معقد ولكن الآخرين لا يفهمونه.  
B) عندما يتحدث شخص عن تجاربه الناجحة.  
C) عندما يتحدث شخص عن العلوم والتكنولوجيا.  
D) عندما يتفاجأ شخص بتصرف غير مفهوم من آخر.  
الإجابة الصحيحة: A","المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.  
السؤال: ""مثل 'اقولة تيس يقول احلبة' يُعبر عن ____.""  
الخيارات:  
A) معرفة دقيقية  
B) جهل وعدم فهم  
C) حذر دائم  
D) غطرسة  
الإجابة الصحيحة: B","المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.  
السؤال: ""مثل 'اقولة تيس يقول احلبة' يعني أن الشخص لديه معلومات صحيحة دائمًا.""  
الخيارات:  
A) صحيح  
B) خطأ  
الإجابة الصحيحة: B (يعني أن الشخص لا يفهم شيئًا، وليس لديه معلومات مؤكدة.)","المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.  
السؤال: ما معنى مثل ""اقولة تيس يقول احلبة""؟  
الخيارات:  
A) يعني أن الشخص لا يفهم شيئًا.  
B) يعني أن الشخص لديه معلومات كثيرة.  
C) يعني أن الشخص يتباهى بمعرفته.  
D) يعني أن الشخص يحذر الآخرين.  
الإجابة الصحيحة:A"
